model,mean_score,median_score,min_score,max_score,n,rank
Qwen 3.7 Max,0.7936985714285715,0.82445,0.3636,1.0,70,1
GLM 5.1,0.7755685714285714,0.7933,0.4853,1.0,70,2
Mimo 2.5 Pro,0.7674885714285715,0.77365,0.2828,1.0,70,3
Kimi K2.6,0.6718042857142857,0.6861999999999999,0.0,1.0,70,4
Nemotron 3 Ultra,0.43882000000000004,0.52015,0.0,1.0,70,5
