domain,GLM 5.1,Kimi K2.6,Mimo 2.5 Pro,Nemotron 3 Ultra,Qwen 3.7 Max
Accounting and common-control recast mechanics,0.6433333333333333,0.6653333333333333,0.7447333333333334,0.4596777777777778,0.0
Capital intensity and funding,0.7887299999999999,0.74054,0.78539,0.5038199999999999,0.1
Execution and program risk,0.8151571428571429,0.7495571428571429,0.8884857142857143,0.36065714285714284,0.13627142857142857
Governance and control structures,0.8224666666666667,0.5563333333333333,0.7319999999999999,0.42896666666666666,0.0
KPI quality and monetization,0.7765666666666666,0.7196222222222222,0.757,0.5779333333333333,0.0
Segment economics and operating performance,0.7746125,0.6978,0.7685875,0.6901,0.06985
Valuation and underwriting analysis,0.7674,0.5446666666666666,0.6980777777777778,0.2953111111111111,0.10582222222222222
