workflow,GLM 5.1,Kimi K2.6,Mimo 2.5 Pro,Nemotron 3 Ultra,Qwen 3.7 Max
Accounting and transaction advisory,0.6992999999999999,0.7040692307692307,0.7796615384615385,0.48140000000000005,0.0
Credit analysis,0.7571,0.64677,0.75902,0.41586999999999996,0.15588
Investment banking / ECM,0.78474,0.59896,0.75778,0.43701999999999996,0.0
Public-market investing,0.7869066666666666,0.6703600000000001,0.75818,0.46789333333333333,0.06349333333333333
Securities counsel,0.796575,0.64305,0.76675,0.50605,0.238475
Venture and growth investing,0.7959875,0.7534125,0.7827375,0.590275,0.0
